id_eso,ambiente,objeto,variable_unidad_original,frecuencia,mes,valor_original,estadisticos_adicionales_orden_eso
1393,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,50.78912298387086,0.0| 1| 1|10|139.95225| 1| 9|10
1410,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1414,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 COMPUTING GAIN,Other Equipment Total Heating Rate [W],Monthly,1,50.78912298387086,0.0| 1| 1|10|139.95225| 1| 9|10
1418,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 MISCELLANEOUS GAIN,Other Equipment Electricity Rate [W],Monthly,1,6.7718830645161,0.0| 1| 1|10|18.6603| 1| 9|10
1423,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 MISCELLANEOUS GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1427,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 MISCELLANEOUS GAIN,Other Equipment Total Heating Rate [W],Monthly,1,6.7718830645161,0.0| 1| 1|10|18.6603| 1| 9|10
1431,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 EQUIPMENT GAIN,Other Equipment Electricity Rate [W],Monthly,1,20.315649193548425,0.0| 1| 1|10|55.9809| 1| 9|10
1436,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 EQUIPMENT GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
1440,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX03 EQUIPMENT GAIN,Other Equipment Total Heating Rate [W],Monthly,1,20.315649193548425,0.0| 1| 1|10|55.9809| 1| 9|10
1444,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX01 COMPUTING GAIN,Other Equipment Electricity Rate [W],Monthly,1,41.35871975806471,0.0| 1| 1|10|113.96624999999999| 1| 9|10
1461,SAN CRISTOBAL (01-01:31-12),PRIMERAPLANTAALTA:1PAXOFX01 COMPUTING GAIN,Other Equipment Lost Heat Rate [W],Monthly,1,0.0,0.0| 1| 1|10|0.0| 1| 1|10
